sourcePostId,title,proposedCollection,severity,message
1591,Tutsak Sayısı Saklanıyor,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=1591, https://mustafaeren.net/wp-content/uploads/2021/06/YOP.png)"
1591,Tutsak Sayısı Saklanıyor,basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
1614,"Mülteci ve Mahpus Olmak / AB'de ""Yabancılar"" Dört Kat Fazla Hapsediliyor",yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=1614, https://mustafaeren.net/wp-content/uploads/2021/06/Ekran-Resmi-2021-06-30-15.33.44.png)"
1618,"""Örtük Af"" ile Kaç Mahpus Tahliye Edildi",yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=1618, https://mustafaeren.net/wp-content/uploads/2021/06/Ekran-Resmi-2021-06-30-15.41.47.png)"
1618,"""Örtük Af"" ile Kaç Mahpus Tahliye Edildi",yazilar,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
1629,"Disiplin Cezalarıyla ""Islah"" / Hapishaneler Yoluyla Hayatı Dizayn Etmek",yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=1629, https://mustafaeren.net/wp-content/uploads/2021/07/Bianet-20210703.png)"
1640,"In EU-Ländern Einwanderer, Flüchtlinge, Asylsuchende und Gefangener / Ausländer Werden Viermal Häufiger Inhaftiert",yazilar,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
1773,Söyledikleri ve Söylemedikleriyle TÜİK CİK İstatistikleri - 2,yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=1773, https://mustafaeren.net/wp-content/uploads/2022/01/Bianet-2021-11-23.png)"
1778,Söyledikleri ve Söylemedikleriyle TÜİK CİK İstatistikleri - 1,yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=1778, https://mustafaeren.net/wp-content/uploads/2022/01/Bianet-2021-11-22.png)"
1744,Vatandaşlıktan Çete Üyeliğine / Ayça Söylemez - Birgün,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=1744, https://mustafaeren.net/wp-content/uploads/2022/01/Bir-Gun-2021-11-30.png)"
1744,Vatandaşlıktan Çete Üyeliğine / Ayça Söylemez - Birgün,basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
1752,Söyledikleri ve Söylemedikleriyle TÜİK CİK İstatistikleri - 5,yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=1752, https://mustafaeren.net/wp-content/uploads/2022/01/Bianet-2021-11-26.png)"
